Description,Calories,Protein,Fat,Carbs
"VEGETABLE OIL,PALM KERNEL",862.0,0.0,100.0,0.0
"OIL,POPPYSEED",884.0,0.0,100.0,0.0
"OIL,TOMATOSEED",884.0,0.0,100.0,0.0
"OIL,TEASEED",884.0,0.0,100.0,0.0
"OIL,GRAPESEED",884.0,0.0,100.0,0.0
"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING",884.0,0.0,100.0,0.0
"FAT,MUTTON TALLOW",902.0,0.0,100.0,0.0
"OIL,WALNUT",884.0,0.0,100.0,0.0
"OIL,ALMOND",884.0,0.0,100.0,0.0
"OIL,APRICOT KERNEL",884.0,0.0,100.0,0.0
"OIL,SOYBN LECITHIN",763.0,0.0,100.0,0.0
"OIL,HAZELNUT",884.0,0.0,100.0,0.0
"OIL,BABASSU",884.0,0.0,100.0,0.0
"OIL,SHEANUT",884.0,0.0,100.0,0.0
"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG",476.0,1.37,51.1,4.62
"OIL,CUPU ASSU",884.0,0.0,100.0,0.0
"FAT,CHICKEN",900.0,0.0,99.8,0.0
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD",884.0,0.0,100.0,0.0
"SHORTENING,HOUSEHOLD,LARD&VEG OIL",900.0,0.0,100.0,0.0
"OIL,SUNFLOWER,LINOLEIC,(PARTIALLY HYDROGENATED)",884.0,0.0,100.0,0.0
"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD",884.0,0.0,100.0,0.0
"SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)",884.0,0.0,100.0,0.0
"SHORTENING INDUSTRIAL,LARD&VEG OIL",900.0,0.0,100.0,0.0
"SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD",900.0,0.0,100.0,0.0
"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)",884.0,0.0,100.0,0.0
"SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD",884.0,0.0,100.0,0.0
"SHORTENING FRYING (HVY DUTY),PALM (HYDR)",884.0,0.0,100.0,0.0
SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,0.0,100.0,0.0
"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,0.0,100.0,0.0
"SHORTENING,CONFECTIONERY,FRACTIONATED PALM",884.0,0.0,100.0,0.0
"OIL,NUTMEG BUTTER",884.0,0.0,100.0,0.0
"OIL,UCUHUBA BUTTER",884.0,0.0,100.0,0.0
"FAT,DUCK",882.0,0.0,99.8,0.0
"FAT,TURKEY",900.0,0.0,99.8,0.0
"FAT,GOOSE",900.0,0.0,99.8,0.0
"OIL,AVOCADO",884.0,0.0,100.0,0.0
"OIL,CANOLA",884.0,0.0,100.0,0.0
"OIL,MUSTARD",884.0,0.0,100.0,0.0
"OIL,SUNFLOWER,HI OLEIC (70% & OVER)",884.0,0.0,100.0,0.0
"MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER",714.0,0.31,80.32,0.77
"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)",884.0,0.0,100.0,0.0
"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD",884.0,0.0,100.0,0.0
"OIL,OAT",884.0,0.0,100.0,0.0
"FISH OIL,COD LIVER",902.0,0.0,100.0,0.0
"FISH OIL,HERRING",902.0,0.0,100.0,0.0
"FISH OIL,MENHADEN",902.0,0.0,100.0,0.0
"FISH OIL,MENHADEN,FULLY HYDR",902.0,0.0,100.0,0.0
"FISH OIL,SALMON",902.0,0.0,100.0,0.0
"FISH OIL,SARDINE",902.0,0.0,100.0,0.0
"SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR)",884.0,0.0,100.0,0.0
"MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT",362.0,1.0,40.0,1.0
"BUTTER,LT,STK,W/SALT",509.0,3.3,55.1,0.0
"BUTTER,LT,STK,WO/SALT",499.0,3.3,55.1,0.0
"MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)",889.0,0.0,98.59,0.0
"ANIMAL FAT,BACON GREASE",897.0,0.0,99.5,0.0
"MARGARINE,REG,80% FAT,COMP,STK,W/ SALT",717.0,0.16,80.71,0.7
"MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT",713.0,0.22,80.17,0.75
"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STK,W/ SALT",537.0,0.12,60.39,0.69
"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT",533.0,0.17,59.81,0.86
"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,W/ SALT",526.0,0.6,59.17,0.0
"SHORTENING,VEG,HOUSEHOLD,COMP",884.0,0.0,99.97,0.0
"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT",717.0,0.16,80.71,0.7
"MARGARINE,REG,80% FAT,COMP,TUB,WO/ SALT",713.0,0.22,80.17,0.75
"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT",533.0,0.17,59.81,0.86
"MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT",43.0,1.5,3.0,2.5
"MARGARINE-LIKE SPRD W/ YOGURT,70% FAT,STK,W/ SALT",630.0,0.3,70.0,0.5
"MARGARINE-LIKE SPRD W/ YOGURT,APPROX 40% FAT,TUB,W/ SALT",330.0,2.0,35.0,2.0
"MARGARINE,80% FAT,STK,INCL REG & HYDR CORN & SOYBN OILS",717.0,0.16,80.71,0.7
"MARGARINE, VEG OIL SPRD,70% FAT,SOYBN & PART HYDR SOYBN,STK",628.0,0.26,70.22,1.53
"MARGARINE SPRD,APPROX 48% FAT,TUB",424.0,0.2,47.53,0.86
"MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB",44.0,0.1,3.04,4.34
"MARGARINE-LIKE,VEG OIL SPRD,20% FAT,W/ SALT",175.0,0.0,19.5,0.4
"MARGARINE-LIKE,VEG OIL SPRD,20% FAT,WO/ SALT",175.0,0.0,19.5,0.4
"SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE",132.0,0.55,1.45,29.27
"SALAD DRSNG,ITALIAN DRSNG,FAT-FREE",47.0,0.97,0.87,8.75
"SALAD DRSNG,RANCH DRSNG,FAT-FREE",119.0,0.25,1.92,26.51
"SALAD DRSNG,RANCH DRSNG,COMM,REG",484.0,1.03,51.39,6.69
"SALAD DRSNG,RANCH DRSNG,RED FAT",196.0,1.25,12.42,21.33
"SALAD DRSNG,MAYO,LT",324.0,0.88,33.09,8.2
"OIL,INDUSTRIAL,MID-OLEIC,SUNFLOWER",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,CANOLA W/ ANTIFOAMING AGENT",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,CANOLA FOR SALADS,WOKS & LT FRYING",884.0,0.0,100.0,0.0
"OIL,INDUS,CANOLA (PART HYDROG) OIL FOR DEEP FAT FRYING",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,COCNT",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG",884.0,0.0,100.0,0.0
"SHORTENING,INDUS,SOY (PART HYDROG),POURABLE LIQ FRY",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY (PART HYDR),FOR NON-DAIRY BUTTER FLAVOR",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY ( PART HYDROGENATED),ALLPURP",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY (PART HYDR ) & SOY,POURABLE FRY",884.0,0.0,100.0,0.0
"OIL,INDUS,SOY (PART HYDROG) & CTTNSD,TORTILLA SHORTENING",884.0,0.0,100.0,0.0
"MARGARINE-LIKE SHORTENING,INDUS,SOY(PART  HYDR),CTTNSD,& SOY",628.0,0.0,71.0,0.0
"OIL,INDUSTRIAL,PALM KERNEL,CONFECTION FAT",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,PALM KERNEL (HYDROG) FOR WHIPPED TOPPINGS",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,COCNT (HYDROGENATED),FOR TOPPINGS & WHITENERS",880.0,0.0,99.5,0.0
"OIL,INDUSTRIAL,PALM & PALM KERNEL,FILLING FAT (NON-HYDROG)",880.0,0.0,99.5,0.0
"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),FILLING FAT",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY (PARTHYDR ),PALM, ICINGS & FILLINGS",884.0,0.0,100.0,0.0
"MARGARINE,INDUS,NON-DAIRY,CTTNSD,SOY OIL (PART HYDR )",714.0,1.9,80.2,0.0
"SHORTENING,INDUSTRIAL,SOY (PARTIALLY HYDR )&CORN FOR FRYING",884.0,0.0,100.0,0.0
"SHORTENING,INDUS,SOY (PART HYDR ) FOR BAKING & CONFECTIONS",884.0,0.0,100.0,0.0
"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY",714.0,0.18,80.0,0.71
"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED",884.0,0.0,100.0,0.0
"USDA CMDTY FD,OIL,VEG,LO SATURATED FAT",884.0,0.0,100.0,0.0
"MARGARINE-LIKE SPRD,SMART BALANCE REG BUTTERY SPRD",583.0,0.14,64.63,0.14
"MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD",337.0,0.02,36.41,1.98
"MARGARINE-LIKE SPRD,SMART BEAT SUPER LT WO/ SATURATED FAT",158.0,0.0,17.1,0.0
"MARGARINE-LIKE SPRD,SMART BEAT SMART SQUEEZE",47.0,0.0,2.1,7.1
"MARGARINE-LIKE SPRD,SMART BALANCE OMEGA PLUS SPRD",605.0,0.13,70.95,0.16
"OIL,VEG,NATREON CANOLA,HI STABILITY,NON TRANS,HI OLEIC (70%)",884.0,0.0,100.0,0.0
"OIL,PAM COOKING SPRAY,ORIGINAL",792.0,0.26,78.69,20.69
"MARGARINE,MARGARINE-LIKE VEG OIL SPRD,67-70% FAT,TUB",606.0,0.07,68.29,0.59
"MARGARINE,80% FAT,TUB,CANOLA HARVEST SOFT SPRD",730.0,0.41,80.32,1.39
"OIL,COOKING & SALAD,ENOVA,80% DIGLYCERIDES",884.0,0.0,100.0,0.0
"SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL",207.0,0.98,10.0,29.27
"MARGARINE-LIKE SPRD,BENECOL LT SPRD",357.0,0.0,38.71,5.71
"SALAD DRSNG,SPRAY-STYLE DRSNG,ASSORTED FLAVORS",165.0,0.16,10.75,16.6
"SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT",333.0,1.53,34.18,9.39
"VEG OIL SPRD,37% FAT,UNSPEC OILS,W/ SALT,W/ ADDED VITAMIN D",339.0,0.51,37.77,0.66
"MARGARINE,REG,80% FAT,COMP,STK,W/ SALT,W/ ADDED VITAMIN D",717.0,0.16,80.71,0.7
"MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT,W/ ADDED VITAMIN D",713.0,0.22,80.17,0.75
"VEG OIL SPRD,60% FAT,STK,W/ SALT,W/ ADDED VITAMIN D",537.0,0.12,60.39,0.69
"VEG OIL SPRD,60% FAT,TUB,W/ SALT,W/ ADDED VITAMIN D",533.0,0.17,59.81,0.86
"VEG-OIL SPRD,STICK/TUB/BOTTLE,60% FAT,W/ ADDED VITAMIN D",535.0,0.6,59.17,0.0
"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT,W/ ADDED VITAMIN D",717.0,0.16,80.71,0.7
"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT,W/VIT D",542.0,0.17,59.81,0.86
"OIL,INDUSTRIAL,CANOLA,HI OLEIC",900.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY,LO LINOLENIC",900.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY,ULTRA LO LINOLENIC",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,SOY,FULLY HYDR",884.0,0.0,100.0,0.0
"OIL,INDUSTRIAL,CTTNSD,FULLY HYDR",884.0,0.0,100.0,0.0
"SALAD DRSNG,HONEY MUSTARD,REG",464.0,0.87,40.83,23.33
"SALAD DRSNG,POPPYSEED,CREAMY",399.0,0.92,33.33,24.53
"SALAD DRSNG,CAESAR,FAT-FREE",131.0,1.47,0.23,30.73
"DRESSING,HONEY MUSTARD,FAT-FREE",169.0,1.07,1.47,38.43
"OIL,FLAXSEED,CONTAINS ADDED SLICED FLAXSEED",878.0,0.37,99.01,0.39
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,RAW",213.0,18.33,14.83,0.13
"CHICKEN,BROILER OR FRYER,MEAT&SKN&GIBLETS&NECK,FRIED,BATTER",291.0,22.84,17.53,9.03
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,FRIED,FLR",272.0,28.57,15.27,3.27
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,RSTD",234.0,26.78,13.27,0.06
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,STWD",216.0,24.49,12.37,0.06
"CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW",215.0,18.6,15.06,0.0
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER",289.0,22.54,17.35,9.42
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,FLR",269.0,28.56,14.92,3.15
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,RSTD",239.0,27.3,13.6,0.0
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD",219.0,24.68,12.56,0.0
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",119.0,21.39,3.08,0.0
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,CKD,FRIED",219.0,30.57,9.12,1.69
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RSTD",190.0,28.93,7.41,0.0
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,STWD",177.0,27.29,6.71,0.0
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW",349.0,13.33,32.35,0.0
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,BATTER",394.0,10.32,28.83,23.15
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,FLR",502.0,19.09,42.58,9.34
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD",454.0,20.36,40.68,0.0
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,STWD",363.0,15.22,33.04,0.0
"CHICKEN,BROILERS OR FRYERS,GIBLETS,RAW",124.0,17.88,4.47,1.8
"CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,FRIED",277.0,32.54,13.46,4.35
"CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,SIMMRD",157.0,27.15,4.5,0.0
"CHICKEN,GIZZARD,ALL CLASSES,RAW",94.0,17.66,2.06,0.0
"CHICKEN,GIZZARD,ALL CLASSES,CKD,SIMMRD",154.0,30.39,2.68,0.0
"CHICKEN,HEART,ALL CLASSES,RAW",153.0,15.55,9.33,0.71
"CHICKEN,HEART,ALL CLASSES,CKD,SIMMRD",185.0,26.41,7.92,0.1
"CHICKEN,LIVER,ALL CLASSES,RAW",119.0,16.92,4.83,0.73
"CHICKEN,LIVER,ALL CLASSES,CKD,SIMMRD",167.0,24.46,6.51,0.87
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT & SKN,RAW",186.0,20.27,11.07,0.0
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,FRIED,BATTER",277.0,23.55,15.44,9.5
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,FRIED,FLR",246.0,30.45,12.09,1.82
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,RSTD",222.0,29.02,10.85,0.0
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,STWD",201.0,26.14,9.97,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT & SKN,RAW",237.0,16.69,18.34,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKN,CKD,FRIED,BATTER",298.0,21.85,18.64,9.38
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKN,CKD,FRIED,FLR",285.0,27.22,16.91,4.08
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKN,CKD,RSTD",253.0,25.97,15.78,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKN,CKD,STWD",233.0,23.5,14.66,0.0
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,RAW",114.0,23.2,1.65,0.0
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,FRIED",192.0,32.82,5.54,0.42
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,RSTD",173.0,30.91,4.51,0.0
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,STWD",159.0,28.88,3.99,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,RAW",125.0,20.08,4.31,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,FRIED",239.0,28.99,11.62,2.59
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,RSTD",205.0,27.37,9.73,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,STWD",192.0,25.97,8.98,0.0
"CHICKEN,BROILERS OR FRYERS,FAT,RAW",629.0,3.73,67.95,0.0
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,RAW",319.0,14.05,28.74,0.0
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,FRIED,BATTER",331.0,21.97,21.91,10.25
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,FRIED,FLR",331.0,27.79,20.74,6.5
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,RSTD",300.0,25.95,20.97,0.0
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,STWD",258.0,22.18,18.14,0.0
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,RAW",137.0,19.56,5.92,0.0
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,FRIED",288.0,29.99,15.32,5.68
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,RSTD",239.0,28.19,13.16,0.0
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,STWD",209.0,25.31,11.19,0.0
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,RAW",172.0,20.85,9.25,0.0
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,FRIED,BATTER",260.0,24.84,13.2,8.99
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,FRIED,FLR",222.0,31.84,8.87,1.64
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,RSTD",197.0,29.8,7.78,0.0
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,STWD",184.0,27.39,7.42,0.0
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,RAW",114.0,21.23,2.59,0.0
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,FRIED",187.0,33.44,4.71,0.51
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,RSTD",165.0,31.02,3.57,0.0
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",151.0,28.98,3.03,0.0
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,RAW",159.0,17.59,9.29,0.11
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,FRIED,BATTER",268.0,21.95,15.75,8.28
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,FRIED,FLR",245.0,26.96,13.72,1.63
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,RSTD",186.0,22.58,9.96,0.0
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,STWD",204.0,25.32,10.64,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,RAW",115.0,18.84,3.82,0.0
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,FRIED",195.0,28.62,8.08,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",149.0,23.36,5.49,0.0
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,STWD",169.0,27.5,5.71,0.0
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,RAW",214.0,16.37,15.95,0.17
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,FRIED,BATTER",273.0,21.77,16.17,8.72
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,FRIED,FLR",254.0,26.84,14.43,2.5
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,RSTD",184.0,24.03,8.99,0.0
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,STWD",220.0,24.17,12.92,0.0
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",120.0,19.16,4.22,0.0
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,FRIED",208.0,28.38,9.32,0.65
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,RSTD",174.0,24.22,7.8,0.0
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,STWD",185.0,26.26,8.06,0.0
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,RAW",297.0,14.07,26.24,0.0
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD,FRIED,BATTER",330.0,19.82,23.52,8.7
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD,FRIED,FLR",332.0,24.01,23.61,4.24
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD SIMMRD",247.0,19.61,18.1,0.0
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,RAW",154.0,17.55,8.78,0.0
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,CKD,FRIED",229.0,26.87,11.88,1.77
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,CKD,SIMMRD",179.0,24.56,8.18,0.0
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,RAW",219.0,16.24,16.61,0.25
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,BATTER",277.0,21.61,16.53,9.08
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR",262.0,26.75,14.98,3.18
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,RSTD",229.0,22.63,14.81,0.0
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,STWD",232.0,23.26,14.74,0.0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,RAW",119.0,19.26,4.11,0.0
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,FRIED",218.0,28.18,10.3,1.18
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,RSTD",177.0,23.99,8.27,0.0
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,STWD",195.0,25.0,9.79,0.0
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,RAW",222.0,18.33,15.97,0.0
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER",324.0,19.87,21.81,10.94
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,FLR",321.0,26.11,22.16,2.39
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,RSTD",290.0,26.86,19.46,0.0
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,STWD",249.0,22.78,16.82,0.0
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,RAW",126.0,21.97,3.54,0.0
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,FRIED",211.0,30.15,9.15,0.0
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,RSTD",203.0,30.46,8.13,0.0
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,STWD",181.0,27.18,7.18,0.0
"CHICKEN,ROASTING,MEAT&SKN&GIBLETS&NECK,RAW",213.0,17.09,15.46,0.09
"CHICKEN,ROASTING,MEAT&SKN&GIBLETS&NECK,CKD,RSTD",220.0,23.96,13.07,0.05
"CHICKEN,ROASTING,MEAT&SKN,RAW",216.0,17.14,15.85,0.0
"CHICKEN,ROASTING,MEAT&SKN,CKD,RSTD",223.0,23.97,13.39,0.0
"CHICKEN,ROASTING,MEAT ONLY,RAW",111.0,20.33,2.7,0.0
"CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD",167.0,25.01,6.63,0.0
"CHICKEN,ROASTING,GIBLETS,RAW",127.0,18.14,5.04,1.14
"CHICKEN,ROASTING,GIBLETS,CKD,SIMMRD",165.0,26.77,5.22,0.86
"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,RAW",109.0,22.2,1.63,0.0
"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,CKD,RSTD",153.0,27.13,4.07,0.0
"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,RAW",113.0,18.74,3.61,0.0
"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,CKD,RSTD",178.0,23.25,8.75,0.0
"CHICKEN,STEWING,MEAT&SKN,&GIBLETS&NECK,RAW",251.0,17.48,19.52,0.19
"CHICKEN,STEWING,MEAT & SKN,& GIBLETS & NECK,CKD,STWD",214.0,24.88,11.91,0.0
"CHICKEN,STEWING,MEAT&SKN,RAW",258.0,17.55,20.33,0.0
"CHICKEN,STEWING,MEAT&SKN,CKD,STWD",285.0,26.88,18.87,0.0
"CHICKEN,STEWING,MEAT ONLY,RAW",148.0,21.26,6.32,0.0
"CHICKEN,STEWING,MEAT ONLY,CKD,STWD",237.0,30.42,11.89,0.0
"CHICKEN,STEWING,GIBLETS,RAW",168.0,17.89,9.21,2.13
"CHICKEN,STEWING,GIBLETS,CKD,SIMMRD",194.0,25.73,9.3,0.11
